sampletype;samplename;compiler;function;LOC;ABC;A;B;C;Cyclomatic_Complexity;Halstead_Volume;Halstead_Level;Halstead_Difficulty;Halstead_Effort;Halstead_Time;MIwoc;Single_MI;Myers_Interval;Information_Flow
compiled;circumferencecircle_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;countingsort-softwaremetrics;prog_clang-oslatest-O0;all.csv;275;74.70609078247904;36;54;37;68;126962.38276880406;0.013397713227828264;438.5;9476421.879600445;526467.8822000247;3.2597483787506434;-35.64317364;37;0
compiled;countingsort.bc-softwaremetrics;prog_clang-oslatest-O0;all.csv;25;21;21;0;0;1;6317.343403623342;0.049971497;71;126418.93352433301;7023.2740846851675;73.11873057;7.526434599819794;0;0
compiled;countingsort.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;212;51.536394906900505;28;36;24;48;76718.91623873587;0.015271196;367;5023766.052102288;279098.1140056827;14.694203717319951;-29.2969042;24;0
compiled;countingsort_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;72;24.779023386727733;11;18;13;27;11332.956402155107;0.056177687;73;201734.12339547038;11207.451299748354;46.96356354207249;2.852941114106187;13;0
compiled;countingsort_marked.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2330;1573.7080415375656;1418;472;493;473;8588093.567137722;0.001053454;6417;8152316573.325115;452906476.2958397;-146.4213156;-103.2156797;493;0
compiled;countingsort_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;crc32hash-softwaremetrics;prog_clang-oslatest-O0;all.csv;144;44.24929377967517;21;34;19;43;42275.04654235106;0.026340526;195.5;1604943.134;89163.50743816889;25.208872718382835;-17.88598883;19;0
compiled;crc32hash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;crc32hash_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;cryptxor-softwaremetrics;prog_clang-oslatest-O0;all.csv;162;45.727453460694704;19;37;19;50;50253.17059059603;0.022594145;231.5;2224167.822148104;123564.87900822802;20.791828983877664;-21.14893391;19;0
compiled;cryptxor.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;102;22.759613353482084;11;19;6;30;22261.114850863203;0.029182974;166;762811.7362321937;42378.42979067742;37.12033754983567;-10.44766538;6;0
compiled;cryptxor_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;cryptxor_marked.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2292;1557.0735371201965;1410;457;477;458;8267817.980888194;0.001063552;6339;7773776538.764439;431876474.37580216;-142.5072994;-102.7402192;477;0
compiled;cryptxor_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;cryptxor_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;944;695.6047728;637;191;204;192;1988536.6752437602;0.002341341;2602;849315451.1202528;47184191.728902936;-59.54717374;-80.59941231;204;0
compiled;decimal2hex-softwaremetrics;prog_clang-oslatest-O0;all.csv;205;57.227615711297986;25;45;25;57;87552.80667088782;0.018302341375472347;313;4783694.330399749;265760.7961333194;12.481251883333485;-28.80723678;25;0
compiled;decimal2hex_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;72;24.779023386727733;11;18;13;27;11332.956402155107;0.056177687;73;201734.12339547038;11207.451299748354;46.96356354207249;2.852941114106187;13;0
compiled;dekhash-softwaremetrics;prog_clang-oslatest-O0;all.csv;129;39.230090491866065;17;31;17;40;35080.87195531939;0.029136626143265298;172;1204012.8387832595;66889.60215462552;28.65090027700559;-15.01170568;17;0
compiled;dekhash.i-softwaremetrics;prog_clang-oslatest-O0;all.csv;30;20.54263858417414;18;7;7;8;8290.040279496947;0.043167013;85;192045.72550919832;10669.20697273324;67.14198986107368;3.345112236504292;7;0
compiled;dekhash.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;16.30950643030009;9;13;4;20;12900.855324581702;0.042966324237966154;106.5;300255.03818132466;16680.835454518037;48.58922038513346;-1.123875198;4;0
compiled;dekhash_file-softwaremetrics;prog_clang-oslatest-O0;all.csv;210;65.12296062065974;24;52;31;75;81487.07569380772;0.019221714;289.5;4239324.213899399;235518.01188329994;8.324219530086737;-27.59914431;31;0
compiled;dekhash_file.bc-softwaremetrics;prog_clang-oslatest-O0;all.csv;25;21;21;0;0;1;6166.930465441834;0.049506599;71;124567.84794797584;6920.435997109769;73.24403783888701;7.673941901141902;0;0
compiled;dekhash_file_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;79;24.779023386727733;11;18;13;27;14380.031407896624;0.049876714;87;288311.5264084226;16017.307022690145;44.22224655;-0.717968634;13;0
